Id,User Id,Mentions,Hashtags,Filtered Text,Polarity,Subjectivity,Compound Score,Cluster Label,,
1.25E+18,1.23E+18,DGHisham,,lost war covid neither war yet need amp everyon break chain,0,0,-0.4685,0,,
1.25E+18,3701432172,DGHisham,,lost war covid neither war yet need amp everyon break chain,0,0,-0.4685,0,,
1.25E+18,392187686,DGHisham,,lost war covid neither war yet need amp everyon break chain,0,0,-0.4685,0,,3471
1.25E+18,815361048,DGHisham,,lost war covid neither war yet need amp everyon break chain,0,0,-0.4685,0,,5174
1.25E+18,1.06E+18,DGHisham,,lost war covid neither war yet need amp everyon break chain,0,0,-0.4685,0,,
1.25E+18,376230538,DGHisham,,lost war covid neither war yet need amp everyon break chain,0,0,-0.4685,0,,
1.25E+18,8.24E+17,Uyushh,,savag,0,0,-0.4588,0,,
1.25E+18,7.89E+17,Uyushh,,savag,0,0,-0.4588,0,,
1.25E+18,401903484,MayorOfUyo,,retouch imag ban,0,0,-0.4588,0,,
1.25E+18,1903393044,gigisdeadd,,men gf x prettier amp still audac disrespect sir go prison,0,0,-0.4588,0,,
1.25E+18,1.20E+18,OnlyBiggBoss,ShehnaazGill,wat happen one vs vs jealou contsnt bb speciali asanskari ser,0,0,-0.4588,0,,
1.25E+18,838500199,steph_batres,,ya think ucla eel someon xenophobia wish death upon undocu ppl pandem,0,0,-0.4588,0,,
1.25E+18,1447883347,steph_batres,,ya think ucla eel someon xenophobia wish death upon undocu ppl pandem,0,0,-0.4588,0,,
1.25E+18,137592321,sunriseon7,,australian forc quarantin luxuri sydney hotel return oversea say step ou,-0.15,0.1,-0.4588,0,,
1.25E+18,1228725020,Uyushh,,savag,0,0,-0.4588,0,,
1.25E+18,135074882,"Inaam_a, BadarAbbas, nylaawan, ajmaljami, ajmaljami",,dear would condemn abus million volunt,0,0,-0.4588,0,,
1.25E+18,9.99E+17,steph_batres,,ya think ucla eel someon xenophobia wish death upon undocu ppl pandem,0,0,-0.4588,0,,
1.25E+18,1.14E+18,Uyushh,,savag,0,0,-0.4588,0,,
1.25E+18,219289786,Aunty_Les,,timaya use poverti sing plantain boy peopl want compar,0,0,-0.4588,0,,
1.25E+18,2149855917,"rani4shukla, arjunbhatigolf, meenu13hindu, YUVSTRONG12, harbhajan_singh",,plzz retweet abus hindu girl,0,0,-0.4588,0,,
1.25E+18,7.01E+17,Satyanewshi,,nation joker use lie pm modi want destroy hal done corrupt rafal deal yo,0,0.05,-0.4588,0,,
1.25E+18,592453696,steph_batres,,ya think ucla eel someon xenophobia wish death upon undocu ppl pandem,0,0,-0.4588,0,,
1.25E+18,1.20E+18,stopshippingpls,,jungkook reaction jimin suggest call hyung day penalti,0,0,-0.4588,0,,
1.25E+18,4919658154,kaylaweavy,,david dobrik abandon us need,0,0,-0.4588,0,,
1.25E+18,8.57E+17,"Spoof_Junkey, INCUttarakhand, INCIndia",,guy kartik chandna social media dept wish death pm modi ji take ac,0.033333333,0.066666667,-0.4588,0,,
1.25E+18,950569662,steph_batres,,ya think ucla eel someon xenophobia wish death upon undocu ppl pandem,0,0,-0.4588,0,,
1.25E+18,1.06E+18,Uyushh,,savag,0,0,-0.4588,0,,
1.25E+18,336614937,"JohnLarsNewton, janet_rice",,use wife phrase covid dark remind forc dark never sleep,0,0,-0.4588,0,,
1.25E+18,89100431,steph_batres,,ya think ucla eel someon xenophobia wish death upon undocu ppl pandem,0,0,-0.4588,0,,
1.25E+18,613065088,steph_batres,,ya think ucla eel someon xenophobia wish death upon undocu ppl pandem,0,0,-0.4588,0,,
1.25E+18,8.42E+17,Uyushh,,savag,0,0,-0.4588,0,,
1.25E+18,4248414074,steph_batres,,ya think ucla eel someon xenophobia wish death upon undocu ppl pandem,0,0,-0.4588,0,,
1.25E+18,1.19E+18,stopshippingpls,,jungkook reaction jimin suggest call hyung day penalti,0,0,-0.4588,0,,
1.25E+18,2259820494,steph_batres,,ya think ucla eel someon xenophobia wish death upon undocu ppl pandem,0,0,-0.4588,0,,
1.25E+18,2703450649,kylegriffin1,,cnn jim acosta american prepar likelihood american die,0,0,-0.4588,0,,
1.25E+18,9.16E+17,Uyushh,,savag,0,0,-0.4588,0,,
1.25E+18,1.02E+18,Uyushh,,savag,0,0,-0.4588,0,,
1.25E+18,140328617,"WWomenL, kasie, AmyMcGrathKY",moscowmitchmctreason,contend run ami answer kentuckian suffer,0,0,-0.4588,0,,
1.25E+18,8.07E+17,Uyushh,,savag,0,0,-0.4588,0,,
1.25E+18,1.24E+18,cheesetasterr,,friend want suck dick fall gon na tell,0.2,0.1,-0.4588,0,,
1.25E+18,39630126,steph_batres,,ya think ucla eel someon xenophobia wish death upon undocu ppl pandem,0,0,-0.4588,0,,
1.25E+18,1.07E+18,kylegriffin1,,cnn jim acosta american prepar likelihood american die,0,0,-0.4588,0,,
1.25E+18,483724007,Uyushh,,savag,0,0,-0.4588,0,,
1.25E+18,502813171,nickmurftweets,,lockdown forc us chang way work even hear julian fellow start second dr,-0.15,0.1,-0.4588,0,,
1.25E+18,1.14E+18,gigisdeadd,,men gf x prettier amp still audac disrespect sir go prison,0,0,-0.4588,0,,
1.25E+18,1.23E+18,Uyushh,,savag,0,0,-0.4588,0,,
1.25E+18,2855638230,charkuehtiao,,franc rate domest violenc increas lockdown respons provid hotel ro,0,0.1,-0.4588,0,,
1.25E+18,1381017990,steph_batres,,ya think ucla eel someon xenophobia wish death upon undocu ppl pandem,0,0,-0.4588,0,,
1.25E+18,1153465531,Aunty_Les,,timaya use poverti sing plantain boy peopl want compar,0,0,-0.4588,0,,
1.25E+18,2439336997,Uyushh,,savag,0,0,-0.4588,0,,
1.25E+18,1.23E+18,stopshippingpls,,jungkook reaction jimin suggest call hyung day penalti,0,0,-0.4588,0,,
1.25E+18,4715808338,gigisdeadd,,men gf x prettier amp still audac disrespect sir go prison,0,0,-0.4588,0,,
1.25E+18,47558569,taradublinrocks,RemoveTrumpNow,inept coward,0,0,-0.4588,0,,
1.25E+18,8.21E+17,steph_batres,,ya think ucla eel someon xenophobia wish death upon undocu ppl pandem,0,0,-0.4588,0,,
1.25E+18,1284504272,steph_batres,,ya think ucla eel someon xenophobia wish death upon undocu ppl pandem,0,0,-0.4588,0,,
1.25E+18,272753884,kylegriffin1,,cnn jim acosta american prepar likelihood american die,0,0,-0.4588,0,,
1.25E+18,9.01E+17,Uyushh,,savag,0,0,-0.4588,0,,
1.25E+18,9.93E+17,WOOSANlSM,,see someon make san savag edit today vlive,0,0,-0.4588,0,,
